EmployeeId,ReasonCode,EmployeeStatus,MedicarePlanCode,StudentStatus,HandicapIndicator,LastName,FirstName,SocialSecurityNumber,Address1,City,State,Zip,BirthDate,Gender,CoverageLevel,CoverageEffectiveFrom,CoverageEffectiveTo,TerminationDate,BenefitType,Benefit Plan Provider Name,EmployeeStatus
123,1,Full-Time,A,Yes,No,Smith Jr.,James,666-66-6666,100 Main St,CityA,StateA,11111,1/1/2010,Male,Individual,1/1/2023,12/31/2023,5/31/2025,Medical,Blue Cross Blue Shield of Tennessee,Full-Time
123,2,Full-Time,B,No,Yes,Smith III,John,777-77-7777,100 Main St,CityA,StateA,11111,2/2/2012,Female,Family,2/2/2023,12/31/2023,5/31/2025,Medical,Blue Cross Blue Shield of Tennessee,Full-Time
124,3,Full-Time,C,Yes,No,Johnson Jr.,Robert,888-88-8888,200 Oak St,CityB,StateB,22222,3/3/2014,Male,Individual,3/3/2023,12/31/2023,5/31/2025,Medical,Blue Cross Blue Shield of Tennessee,Full-Time
125,4,Full-Time,D,No,Yes,Williams Jr.,Michael,999-99-9999,300 Pine St,CityC,StateC,33333,4/4/2016,Female,Family,4/4/2023,12/31/2023,5/31/2025,Dental,Blue Cross Blue Shield of Tennessee,Full-Time
126,5,Full-Time,E,Yes,No,Jones Jr.,William,000-00-0000,400 Maple St,CityD,StateD,44444,5/5/2018,Male,Individual,5/5/2023,12/31/2023,5/31/2025,Vision,Blue Cross Blue Shield of Tennessee,Full-Time
128,1,Full-Time,A,Yes,No,Wilson,Sarah,666-66-6666,600 Elm St,CityF,StateF,66666,6/6/1985,Female,Family,6/6/2023,12/31/2023,5/31/2025,Vision,Cigna,Full-Time
129,2,Full-Time,B,No,Yes,Taylor,Emily,777-77-7777,700 Oakwood St,CityG,StateG,77777,7/7/1986,Male,Individual,7/7/2023,12/31/2023,5/31/2025,Vision,Cigna,Full-Time
130,3,Full-Time,C,Yes,No,Miller,David,888-88-8888,800 Maplewood St,CityH,StateH,88888,8/8/1987,Female,Family,8/8/2023,12/31/2023,5/31/2025,Medical,Cigna,Full-Time
131,4,Full-Time,D,No,Yes,Anderson,Olivia,999-99-9999,900 Pineview St,CityI,StateI,99999,9/9/1988,Male,Individual,9/9/2023,12/31/2023,5/31/2025,Medical,Cigna,Full-Time
132,5,Full-Time,E,Yes,No,Walker,Emma,123-45-6789,1000 Cedar Ave,CityJ,StateJ,12345,10/10/1989,Female,Family,10/10/2023,12/31/2023,5/31/2025,Medical,Cigna,Full-Time
